training: num battles (episodes)=10000, N0=0.100000, gamma=0.100000, wins=2891, winning percentage=28.910000, total time=467.91 seconds
validation: num battles (episodes)=3333, N0=0.100000, gamma=0.100000, wins=1590, winning percentage=47.700000, total time=296.86 seconds
training: num battles (episodes)=10000, N0=0.100000, gamma=0.200000, wins=2497, winning percentage=24.970000, total time=442.9 seconds
validation: num battles (episodes)=3333, N0=0.100000, gamma=0.200000, wins=1403, winning percentage=42.090000, total time=290.93 seconds
training: num battles (episodes)=10000, N0=0.100000, gamma=0.300000, wins=2232, winning percentage=22.320000, total time=402.59 seconds
validation: num battles (episodes)=3333, N0=0.100000, gamma=0.300000, wins=1615, winning percentage=48.450000, total time=292.13 seconds
training: num battles (episodes)=10000, N0=0.200000, gamma=0.100000, wins=2833, winning percentage=28.330000, total time=488.79 seconds
validation: num battles (episodes)=3333, N0=0.200000, gamma=0.100000, wins=1488, winning percentage=44.640000, total time=302.39 seconds
training: num battles (episodes)=10000, N0=0.200000, gamma=0.200000, wins=2556, winning percentage=25.560000, total time=456.74 seconds
validation: num battles (episodes)=3333, N0=0.200000, gamma=0.200000, wins=1404, winning percentage=42.120000, total time=298.18 seconds
training: num battles (episodes)=10000, N0=0.200000, gamma=0.300000, wins=2225, winning percentage=22.250000, total time=416.46 seconds
validation: num battles (episodes)=3333, N0=0.200000, gamma=0.300000, wins=1654, winning percentage=49.620000, total time=300.32 seconds
training: num battles (episodes)=10000, N0=0.300000, gamma=0.100000, wins=2877, winning percentage=28.770000, total time=523.66 seconds
validation: num battles (episodes)=3333, N0=0.300000, gamma=0.100000, wins=1579, winning percentage=47.370000, total time=323.59 seconds
training: num battles (episodes)=10000, N0=0.300000, gamma=0.200000, wins=2666, winning percentage=26.660000, total time=593.79 seconds
validation: num battles (episodes)=3333, N0=0.300000, gamma=0.200000, wins=1521, winning percentage=45.630000, total time=340.28 seconds
training: num battles (episodes)=10000, N0=0.300000, gamma=0.300000, wins=2125, winning percentage=21.250000, total time=451.45 seconds
validation: num battles (episodes)=3333, N0=0.300000, gamma=0.300000, wins=1551, winning percentage=46.530000, total time=380.58 seconds
